geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
blr,Belarus,1241.63,1409.38,1557.28,1605.85,1534.06,1397.45,1472.28,1659.74,1701.08,1732.32,1512.9,1606.16,1471.36,1398.66,1368.39,1368.74,1419.62,1442.65,1359.42,1399.84,1379.35,1401.77,1267.42,1313.74,1261.77,1199.06,1244.57,1240.11,1286.54,1345.3,1354.47,1362.54
blz,Belize,4.52,4.77,4.83,5.07,5.42,5.61,6.23,6.84,7.66,7.98,8.47,8.95,9.29,9.49,10,10.59,11.22,11.91,12.19,12.81,13.89,14.24,15.16,15.6,16.42,16.55,16.78,18.25,19.87,20.71,20.2,21.16
bol,Bolivia,281.59,293.68,307.68,322.65,337.55,353.52,368.55,387.22,402.31,419.69,435.8,450.74,470.72,484.42,501.69,521.12,537.46,561.95,582.01,602.63,623.68,645.37,666.26,689.41,714.15,739.07,764.67,793.47,821.71,850.3,869.76,882.74
bra,Brazil,8297.26,8516.43,9034.63,9573.99,10006.58,10266.77,10515.95,10835.52,11395.21,11810.8,12144.66,12562.59,13015.68,13401.28,13861.2,14074.85,14598.84,14915.85,15490.01,15943.89,16461.47,17040.6,17408.07,17862.09,18317.19,19079.7,19971.99,20297.26,21020.19,21818.26,22609.02,23425.12
brb,Barbados,48.41,49.49,50.77,52.34,49.66,50.57,50.4,52.42,57.53,60.79,63.44,65.84,67.35,69.03,69.53,70.12,69.38,72.84,74.1,79.62,83.46,89.29,90.06,87.8,89.77,91.5,93.24,95.03,96.58,98.15,96.19,95.05
brn,Brunei,10.65,10.95,11.22,11.46,11.75,11.95,12.21,12.58,12.95,13.57,14.13,14.73,15.49,16.35,17.36,18.15,19.17,20.17,21.12,22.4,23.78,25.16,26.76,28.3,30.29,32.32,34.23,36.07,37.65,38.99,39.42,38.27
btn,Bhutan,10.19,10.61,11.02,11.4,11.68,12.13,12.33,12.82,12.88,12.91,13.43,13.59,13.72,14.1,14.49,14.97,15.37,15.89,16.49,17.13,17.95,18.73,19.4,20.17,20.84,21.71,22.56,23.43,24.21,24.98,25.72,26.35
bwa,Botswana,52.11,55.56,59.24,62.44,65.14,66.8,66.89,65.12,62.15,66.17,73.05,79.76,85.62,88.4,88.38,88.22,87.64,101.41,115.59,127.78,138.51,146.68,150.29,157.25,162.52,165.24,163.83,163.66,166.22,171.72,177.24,180.12
caf,Central African Republic,104.58,107.59,107.32,112.82,115.78,116.6,121.49,122.33,126.91,131.19,131.63,134.21,138.56,141.69,144.57,148.35,153.37,156.26,157.42,162.49,172.77,181.15,186.66,194.87,198.42,201.89,208.59,215.71,223.54,232.74,240.16,246.4
can,Canada,4799.12,4983.04,5107.65,5145.77,5226.06,5151.85,5262.65,5317.43,5348.01,5353.6,5365.07,5448.13,5572.9,5707.82,5632.54,5520.06,5619.71,5739.61,5745.12,5707.65,5800.6,5779.52,5784.13,5741.33,5877.89,5818.02,6049.74,6143.22,6196.08,6231.11,6067.15,6061.25
