geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
blr,Belarus,2928.2,3324.45,3720.28,3878.83,3715.93,3387.13,3546.29,3964.51,4060.84,4147.54,3634.85,3871.57,3612.66,3514.99,3473.59,3478.57,3635.85,3728.47,3578.12,3726.95,3738.35,3899.26,3619.95,3914.8,3885.26,3739.27,3895.74,3883.87,4083.03,4333.3,4389.15,4444.18
blz,Belize,9.06,9.74,10.2,10.85,11.61,11.9,12.99,14.14,15.82,16.37,17.52,18.9,20.07,20.73,22.29,24.15,25.84,27.64,28.84,30.85,34.03,35.62,38.03,39.07,41.07,42.01,43.04,47.27,51.83,54.33,52.59,55.34
bol,Bolivia,420.5,441.15,465.93,492.88,520.88,552.62,583.16,619.66,649.63,682.62,712.38,741.1,779.3,808.43,846.8,893.09,935.86,990.54,1034.13,1076.17,1118.22,1161.61,1204.83,1254.91,1310.81,1371.97,1439.35,1517.46,1587.67,1659.14,1714.04,1760.81
bra,Brazil,15888.37,16471.62,17715.16,19007.01,20229.5,21197.62,22122.53,23160.16,24634.49,25781.77,26713.98,27851.79,29059.67,29998.79,31177.84,31645.96,32859.86,33784.44,35465.8,36921.98,38555.13,40358.24,41520.38,42959.03,44373.99,46460.08,49136.23,50128.5,52143.69,54608.08,57146.62,60267.57
brb,Barbados,105.13,109.02,111.66,115.94,114.14,118.79,120.19,125.3,136.78,144.16,149.94,158.26,163.81,171.13,173.33,175.35,175.15,185.03,192.24,209.05,221.8,239.36,242.19,237.1,241.6,247.33,252.45,257.36,261.73,266.51,262.35,257.41
brn,Brunei,23.05,24.07,25.05,26.03,27.19,28.19,29.37,30.62,32.03,34.13,36.03,38.18,40.83,43.72,46.78,48.93,51.91,55.08,58.26,62.31,66.72,70.65,75.14,78.99,84.83,90.64,95.84,101.87,107.61,112.32,114.09,111.09
btn,Bhutan,14.49,15.19,15.86,16.48,16.96,17.69,18.07,18.92,19.14,19.33,20.35,20.78,21.17,21.98,22.79,23.77,24.63,25.75,27.07,28.51,30.35,32.06,33.5,35.04,36.46,38.33,40.35,42.54,44.61,46.69,48.68,50.5
bwa,Botswana,75.28,81.21,87.37,92.3,95.58,96.37,94.78,91.27,86.68,92.62,103.21,113.66,122.93,127.52,127.73,127.68,127,148.48,171.16,191.09,209.45,224.7,233.34,247.92,259.94,267.33,267.58,269.9,276.5,287.99,299.15,307.29
caf,Central African Republic,133.13,137.39,137.03,144.49,148.31,149.07,155.66,156.75,163.31,169.51,170.23,174.14,180.45,184.96,189.07,194.54,201.87,206.14,207.76,215.01,229.98,242.08,249.93,261.13,265.62,270.18,279.67,290.16,301.89,315.59,326.84,336.78
can,Canada,16968.03,17577.57,18087.9,18397.46,19128.54,19541.64,20482.42,20963.54,21213.09,21361.58,21579.19,21902.53,22447.83,23022.26,23045.32,23048.51,23773.89,24390.53,24519.44,24331.94,24584.43,24506.56,24676.85,24489.36,25065.29,25071.19,25893.35,26129.99,26244.42,26224.39,24962.07,25415.56
che,Switzerland,3798.48,3856.46,3913.17,4052.85,4432.63,4953.25,5035.05,5222.54,5267.15,5226.13,5454.38,5489.91,5556.43,5624.65,5644.39,5664.01,5755.48,5776.98,5952.03,6042.95,6162.47,6037.27,6057.37,5978.33,5909.27,5869.82,5928.93,5773.58,5883.83,5627.09,5238.71,5266.18
chl,Chile,1756.45,1803.19,1818.41,1871.88,1984.34,2129.33,2200.73,2185.22,2324.99,2384.62,2465.47,2571.12,2639.58,2764.6,2894.05,3061.2,3157.58,3239.72,3390.75,3723.97,3851.61,3959.37,4070.26,4186.08,4283.91,4525.06,4600.73,4674.26,4796.46,4962.57,4763.17,4933.33
chn,China,84793.22,88738.69,92995.41,97744.79,103140.33,108153.88,113532.26,118443.84,124388.85,131091.36,137369.3,143588.95,150404.24,159569.85,170747.6,183797.3,196221.53,208669.65,218556.7,227473.42,240067.23,250912.95,257097.58,266283.25,276738.07,283719.89,294259.85,315519.08,335878.48,355902.73,373730.09,385837.7
civ,Cote d'Ivoire,499,521.85,540.07,576.54,605.53,632.38,659.59,690.42,735.21,788.91,839.96,888.92,923.81,967.27,1004.31,1064.36,1117.27,1159.48,1192.05,1236.47,1283.97,1331.44,1425.46,1555.38,1655.36,1718.11,1804.66,1900.23,1977.02,2033.29,2147.68,2255.18
cmr,Cameroon,502.51,527.31,554.12,579.1,601.24,619.5,637.48,663.4,689.16,716.66,748.62,774.76,803.71,828.94,855.78,893.69,938.59,991.61,1046.83,1117.34,1186.87,1255.14,1324.29,1397.98,1487.8,1555.51,1651.61,1743.28,1848.5,1962.23,2075.5,2191.23
cod,"Congo, Dem. Rep.",1628.34,1694.19,1732.38,1753.04,1767.09,1833.2,1918.76,1882.13,1932.92,1985.39,2047.32,2097.19,2138.74,2221.67,2280.92,2361.06,2474.5,2581.97,2716.61,2855.08,3030.03,3218.05,3429.68,3665.56,3953.58,4225.04,4505.9,4786.44,5092.92,5417.18,5761.49,6068.99
cog,"Congo, Rep.",178.6,183.95,190.25,198.5,219.68,227.35,238.56,252.59,247.36,259.36,265.11,260.23,266.82,285.5,300.79,321.78,340.82,363.11,381.19,398.98,423.12,444,473.7,508.57,548.33,577.59,606.08,641.12,679.09,721.54,759.42,791.61
col,Colombia,3819.88,4004.89,4192.98,4527.01,4780.35,4953.85,5283.73,5494.16,5719.69,6093.35,6446.52,6784.45,7081.83,7707.51,7829.36,7762.4,8200.75,8668.59,9132.57,10014.4,10829.92,11012.44,11706.8,12133.13,12928.26,13615.83,14942.01,15541.35,16824.51,17612.22,18465.3,19032.7
com,Comoros,24.75,26.35,27.95,29.54,31.27,32.42,33.91,35.22,36.43,37.52,39.66,41.31,43.06,44.75,43.57,47.67,47.15,52.98,56.32,55.08,56.19,59.51,61.5,63.77,72.81,75.64,79.41,82.62,83.98,89.01,94.64,98.21
cpv,Cape Verde,26.26,27.19,27.71,28.05,28.02,27.55,26.96,26.51,26.59,27.27,28.38,29.78,31.34,32.84,34.28,35.63,36.99,38.7,40.82,43.21,45.86,48.4,50.72,53.68,56.91,59.67,62.25,63.56,65.36,67.52,70.37,72.65
