geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
bol,Bolivia,22.12,22.57,23.14,23.71,24.23,24.84,25.28,25.9,26.17,26.5,26.65,26.72,27.1,27.14,27.45,27.98,28.34,29.02,29.33,29.57,29.79,30.01,30.19,30.49,30.89,31.37,31.93,32.67,33.19,33.67,33.91,34.14
bra,Brazil,30.14,30.24,31.41,32.61,33.53,33.98,34.3,34.69,35.66,36.07,36.15,36.47,36.8,36.8,36.99,36.36,36.58,36.4,36.99,37.31,37.82,38.43,38.38,38.56,38.72,39.44,40.58,40.31,40.85,41.67,42.54,43.89
brb,Barbados,72.68,74.8,74.17,75.71,74.47,76.04,75.82,77.97,83.91,86.96,88.89,92.45,93.97,96.98,95.92,94.7,92.72,95.77,97.49,103.85,107.92,113.85,112.25,108.01,107.79,108.23,108.36,108.42,108.27,108.32,104.99,100.93
brn,Brunei,33.47,33.48,33.33,33.07,33.08,32.72,32.65,32.86,32.85,33.54,34.14,34.71,35.51,36.32,37.48,38.08,39,39.83,40.42,41.71,43.03,44.07,45.18,46.03,47.49,49.12,50.71,51.89,52.54,52.95,51.7,49.27
btn,Bhutan,9.74,9.89,10.09,10.36,10.52,10.76,10.75,10.97,10.85,10.7,10.96,10.93,10.87,11,11.14,11.33,11.46,11.68,11.95,12.24,12.64,12.95,13.13,13.33,13.47,13.77,14.1,14.46,14.77,15.05,15.28,15.44
bwa,Botswana,22.13,22.93,23.72,24.17,24.19,23.68,22.64,21.21,19.57,20.19,21.76,23.21,24.41,24.68,24.08,23.37,22.48,25.25,28.04,30.26,32.13,33.39,33.58,34.49,34.97,34.82,33.68,32.77,32.36,32.48,32.59,32.47
caf,Central African Republic,18.47,18.71,18.41,19.01,19.15,18.97,19.38,19.23,19.59,19.84,19.56,19.56,19.8,19.85,19.85,19.94,20.19,20.15,19.91,20.04,20.71,21.13,21.23,21.53,21.4,21.28,21.45,21.63,21.86,22.17,22.29,22.4
can,Canada,100.41,101.46,101.77,101.04,102.84,102.76,105.25,105.24,104.05,102.37,101.1,100.31,100.51,100.62,98.33,96.02,96.74,96.94,95.45,92.65,91.24,88.97,88.12,85.57,85.99,84.91,86.04,85.3,84.18,82.46,77.54,77.64
che,Switzerland,74.25,74.68,74.88,76.71,83.34,91.96,92.24,94.33,94.24,92.28,95.2,94.67,94.22,93.83,92.76,91.82,91.98,90.62,91.47,91.12,91.43,88.11,86.52,83.83,80.91,78.22,77.9,74.68,74.94,70.27,63.4,63.56
chl,Chile,30.93,30.91,30.31,30.35,31.23,32.54,32.76,31.69,32.68,32.56,32.71,33.02,32.94,33.45,34.02,34.93,34.99,34.88,35.57,37.96,38.19,38.24,38.3,38.44,38.4,39.62,39.31,38.96,39.22,39.66,37.16,37.71
